queries,slots usage,false positive rate
0,0.501965,0.005000
10000,0.501966,0.001850
20000,0.501967,0.001510
30000,0.501968,0.001200
40000,0.501969,0.001420
50000,0.501970,0.001270
60000,0.501971,0.001370
70000,0.501972,0.001260
80000,0.501973,0.001090
90000,0.501973,0.001100
100000,0.501974,0.001050
110000,0.501974,0.001120
120000,0.501975,0.001070
130000,0.501975,0.000960
140000,0.501976,0.001130
150000,0.501977,0.000930
160000,0.501977,0.000960
170000,0.501978,0.000860
180000,0.501978,0.000950
190000,0.501979,0.000920
200000,0.501980,0.000980
210000,0.501980,0.000770
220000,0.501981,0.000860
230000,0.501982,0.000820
240000,0.501982,0.000950
250000,0.501983,0.000930
260000,0.501984,0.000930
270000,0.501984,0.000970
280000,0.501985,0.001160
290000,0.501985,0.000870
300000,0.501986,0.000810
310000,0.501986,0.000700
320000,0.501987,0.000880
330000,0.501987,0.000930
340000,0.501988,0.000770
350000,0.501988,0.000810
360000,0.501989,0.000700
370000,0.501989,0.000890
380000,0.501990,0.000880
390000,0.501990,0.000740
400000,0.501991,0.000730
410000,0.501991,0.000840
420000,0.501992,0.000880
430000,0.501992,0.000890
440000,0.501992,0.000860
450000,0.501993,0.000910
460000,0.501993,0.000820
470000,0.501994,0.000730
480000,0.501994,0.000750
490000,0.501994,0.000610
500000,0.501995,0.000680
510000,0.501995,0.000690
520000,0.501996,0.000800
530000,0.501997,0.000640
540000,0.501997,0.000670
550000,0.501998,0.000630
560000,0.501998,0.000710
570000,0.501999,0.000650
580000,0.501999,0.000630
590000,0.502000,0.000640
600000,0.502000,0.000570
610000,0.502001,0.000800
620000,0.502001,0.000800
630000,0.502001,0.000830
640000,0.502001,0.000540
650000,0.502002,0.000750
660000,0.502002,0.000640
670000,0.502003,0.000520
680000,0.502003,0.000720
690000,0.502004,0.000690
700000,0.502004,0.000540
710000,0.502004,0.000820
720000,0.502005,0.000710
730000,0.502005,0.000620
740000,0.502005,0.000590
750000,0.502006,0.000670
760000,0.502006,0.000810
770000,0.502006,0.000610
780000,0.502007,0.000740
790000,0.502007,0.000440
800000,0.502008,0.000730
810000,0.502008,0.000650
820000,0.502008,0.000530
830000,0.502008,0.000670
840000,0.502009,0.000610
850000,0.502009,0.000480
860000,0.502009,0.000480
870000,0.502010,0.000790
880000,0.502010,0.000550
890000,0.502010,0.000550
900000,0.502011,0.000600
910000,0.502011,0.000600
920000,0.502011,0.000520
930000,0.502012,0.000480
940000,0.502012,0.000680
950000,0.502012,0.000570
960000,0.502013,0.000450
970000,0.502013,0.000610
980000,0.502013,0.000610
990000,0.502014,0.000530
1000000,0.502014,0.000690
